A,B,C,D
1.0,32.0,-43.719999988079074,369.0399999986589
2.0,34.0,-37.65999998569489,389.1999999988079
3.0,6.0,-31.70000000715256,109.35999999523163
4.0,4.0,-25.789999995827674,89.12000000059605
5.0,14.0,-19.89000000476837,189.09999999731778
6.0,15.0,-13.789999995827674,199.18000000298022
7.0,7.0,-7.990000000670552,119.28000001192093
8.0,10.0,-1.780000005364418,149.01999999910592
9.0,34.0,4.310000013113022,388.98
10.0,29.0,10.089999999403954,339.16999999761583
11.0,28.0,15.98,329.2199999946356
12.0,1.0,22.180000002980233,58.99999999955296
13.0,24.0,28.250000010728836,289.3200000035763
14.0,20.0,34.239999990463254,249.3400000143051
15.0,16.0,40.31000001311302,209.05999999821185
16.0,38.0,46.08999999940395,429.21000000417234
17.0,6.0,51.98999999977648,109.01999999910593
18.0,36.0,58.070000003576276,409.16999999761583
19.0,21.0,64.36999998569488,259.3200000035763
20.0,37.0,70.31000001311303,419.21000000417234
21.0,1.0,76.08000000149012,59.25000001072883
22.0,4.0,82.36999998569489,89.26999999165535
23.0,24.0,88.13999999642373,289.34000001430513
24.0,30.0,93.98999999977649,349.1600000071526
25.0,30.0,100.13999999642373,349.23
26.0,39.0,106.00999999932945,439.3200000035763
27.0,5.0,112.1899999934435,99.12000000059605
28.0,16.0,118.07000000357628,209.26999999165534
29.0,13.0,124.26999999165535,179.050000000298
30.0,4.0,130.00999999932944,89.36999998569489
31.0,2.0,136.12000000059604,69.31000001311303
32.0,15.0,142.23,199.1399999964237
33.0,0.0,148.09999999731778,49.21000000417232
34.0,1.0,154.16000000715255,59.32999999403953
35.0,30.0,160.08999999940394,349.35999999523165
36.0,13.0,166.09999999731778,179.09999999731778
37.0,18.0,172.10999999523162,229.35999999523162
38.0,12.0,178.16000000715255,169.01999999910592
39.0,34.0,183.99999999955295,389.28000001192095
40.0,27.0,190.07000000357627,319.21000000417234
41.0,2.0,196.35000000476836,69.29999999284745
42.0,23.0,202.1399999964237,279.28000001192095
43.0,23.0,208.050000000298,279.2199999946356
44.0,19.0,213.99999999955295,239.050000000298
45.0,7.0,220.13000000596045,119.0399999986589
46.0,30.0,226.10999999523162,349.2199999946356
47.0,14.0,232.09999999731778,189.21999999463557
48.0,36.0,238.08999999940394,409.31000001311304
49.0,6.0,244.25000001072883,109.16000000715256
50.0,7.0,250.05999999821185,119.08000000149012
51.0,23.0,256.12000000059606,279.00999999932947
52.0,1.0,262.3699999856949,59.18000000298023
53.0,32.0,267.999999999553,369.16999999761583
54.0,30.0,274.2399999904633,349.0399999986589
55.0,0.0,280.2199999946356,49.21000000417232
56.0,30.0,286.18000000298025,349.0300000007451
57.0,24.0,292.089999999404,289.16999999761583
58.0,12.0,298.32999999403955,169.23999999046325
59.0,7.0,304.1300000059605,119.29999999284745
60.0,23.0,310.35999999523165,278.9899999997765
61.0,24.0,316.10999999523165,289.10999999523165
62.0,27.0,322.23,319.2199999946356
63.0,2.0,328.2399999904633,69.28000001192093
64.0,7.0,334.29999999284746,119.23
65.0,35.0,340.23,399.2600000011921
66.0,7.0,346.2900000023842,119.08999999940396
67.0,36.0,352.1899999934435,409.3200000035763
68.0,11.0,358.0399999986589,159.1999999988079
69.0,13.0,364.18000000298025,179.1999999988079
70.0,35.0,370.23,399.1999999988079
71.0,2.0,376.1600000071526,69.13999999642373
72.0,1.0,382.13999999642374,59.239999990463254
73.0,16.0,388.1999999988079,209.050000000298
74.0,38.0,394.12000000059606,429.08000000149013
75.0,26.0,400.01999999910595,309.21000000417234
76.0,8.0,406.0700000035763,129.29999999284743
77.0,17.0,412.08000000149013,219.16000000715255
78.0,25.0,418.13999999642374,299.34000001430513
79.0,5.0,424.2199999946356,99.2600000011921
80.0,13.0,430.10999999523165,178.98999999977647
81.0,24.0,436.2399999904633,288.9899999997765
82.0,0.0,442.3500000047684,49.31000001311302
83.0,3.0,448.31000001311304,79.1899999934435
84.0,7.0,453.98,119.00999999932945
85.0,20.0,460.12000000059606,249.1999999988079
86.0,2.0,465.9899999997765,69.05000000029803
87.0,36.0,472.1300000059605,409.3200000035763
88.0,24.0,477.999999999553,289.21000000417234
89.0,21.0,484.3200000035763,258.999999999553
90.0,5.0,490.32999999403955,98.98999999977649
91.0,22.0,496.2600000011921,269.0399999986589
92.0,0.0,501.9899999997765,49.280000011920926
93.0,12.0,508.31000001311304,169.23999999046325
94.0,18.0,514.0999999973178,229.050000000298
95.0,18.0,520.1099999952316,229.09999999731778
96.0,24.0,526.050000000298,289.21000000417234
97.0,21.0,532.310000013113,259.0700000035763
98.0,17.0,538.1300000059605,218.98
99.0,17.0,544.1399999964237,219.28000001192092
100.0,0.0,550.3200000035763,49.23
